vendor_code,name,brand,series,color,backset,center_distance,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material,mounting_type,purpose,package_type
Замок врезной противопожарный Avers 2000-ZN-RE (B2,Замок врезной противопожарный Avers 2000-ZN-RE (B2B),Avers,2000,,65.0,72.0,,14,,cylindrical,,,not included,,,bolts,fireproof,pack
Замок врезной Apecs 7300-35-R-NIS,Замок врезной Apecs 7300-35-R-NIS,Apecs,7300,NI,35.0,0.0,,15,,cylindrical,,,not included,,,faceplate,aluminum profile doors,pack
Замок врезной Avers 1523_60-CR,Замок врезной Avers 1523/60-CR,Avers,1523/60,CR,45.0,70.0,3,20,12,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
Замок врезной противопожарный Apecs 8300-INOX (B2B,Замок врезной противопожарный Apecs 8300-INOX (B2B),Apecs,8300,,55.0,72.0,,20,,cylindrical,,,not included,,,faceplate,fireproof,pack
Замок врезной Apecs 1330_60-AC,Замок врезной Apecs 1330/60-AC,Apecs,1330/60,AC,40.0,80.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной сувальдный Avers ЗВ9-4-1-4 (белый),Замок врезной сувальдный Avers ЗВ9-4-1-4 (белый),Avers,9,,55.0,55.0,3,23,12,sdeadbolt with double bit,,3,,,,faceplate,general,box
"Замок врезной Avers T-32-CR (w_o BP, w_o DP)","Замок врезной Avers T-32-CR (w/o BP, w/o DP)",Avers,32,CR,68.0,85.0,3,26,16,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 95_60-CR,Замок врезной Apecs 95/60-CR,Apecs,95/60,CR,40.0,0.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs T-0523-C-G-R,Замок врезной Apecs T-0523-C-G-R,Apecs,0523,G,60.0,80.0,3,24,18,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 7300-30-R-NIS,Замок врезной Apecs 7300-30-R-NIS,Apecs,7300,NI,30.0,0.0,,15,,cylindrical,,,not included,,,faceplate,aluminum profile doors,pack
Замок врезной Apecs 2223_60-AB,Замок врезной Apecs 2223/60-AB,Apecs,2223/60,AB,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1527_60-G_GM,Замок врезной Apecs 1527/60-G/GM,Apecs,1527/60,G,45.0,70.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Avers 0823_60-C-NI,Замок врезной Avers 0823/60-C-NI,Avers,0823/60,NI,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной Avers 1023_60-G,Замок врезной Avers 1023/60-G,Avers,1023/60,G,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
Замок врезной Apecs 1425-CR,Замок врезной Apecs 1425-CR,Apecs,1425,CR,55.0,58.5,,20,,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 1023_60-AC,Замок врезной Apecs 1023/60-AC,Apecs,1023/60,AC,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Avers 0823_60-AC,Замок врезной Avers 0823/60-AC,Avers,0823/60,AC,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной Avers 2223_70-CR,Замок врезной Avers 2223/70-CR,Avers,2223/70,CR,45.0,85.0,3,20,12,cylindrical,flat key,5,included,35/35,ZAMAK,faceplate,general,box
Замок врезной Apecs 94-H_60-CR,Замок врезной Apecs 94-H/60-CR,Apecs,94,CR,40.0,0.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной противопожарный Avers 2000-ZN,Замок врезной противопожарный Avers 2000-ZN,Avers,2000,,65.0,72.0,,14,,cylindrical,,,not included,,,bolts,fireproof,pack
Замок врезной Apecs 99-K-G,Замок врезной Apecs 99-K-G,Apecs,99,G,50.0,0.0,4,28.5,12,cylindrical,,,,,,faceplate,general,box
Замок врезной Apecs 1323_60-AC,Замок врезной Apecs 1323/60-AC,Apecs,1323/60,AC,40.0,80.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Avers 1223_60-G,Замок врезной Avers 1223/60-G,Avers,1223/60,G,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
"Замок врезной Avers T-42-CR (w_o BP, w_o DP)","Замок врезной Avers T-42-CR (w/o BP, w/o DP)",Avers,42,CR,60.0,85.0,3,26,14,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 2600-G,Замок врезной Apecs 2600-G,Apecs,2600,G,45.0,85.0,3,20,12,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 1023_60-AB,Замок врезной Apecs 1023/60-AB,Apecs,1023/60,AB,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной сувальдный Avers ЗВ9-4-1-4 (медь),Замок врезной сувальдный Avers ЗВ9-4-1-4 (медь),Avers,9,,55.0,55.0,3,23,12,sdeadbolt with double bit,,3,,,,faceplate,general,box
Замок врезной Apecs 29-R-CR,Замок врезной Apecs 29-R-CR,Apecs,29,CR,20.0,0.0,,16,,cylindrical,,,not included,,,faceplate,Узкопрофильные двери,box
Замок врезной противопожарный Apecs 1900-INOX-BLM,Замок врезной противопожарный Apecs 1900-INOX-BLM,Apecs,1900,,65.0,72.0,,21,,cylindrical,,,not included,,,faceplate,fireproof,pack
Замок врезной противопожарный Apecs 8300-INOX-BLM ,Замок врезной противопожарный Apecs 8300-INOX-BLM (B2B),Apecs,8300,,55.0,72.0,,20,,cylindrical,,,not included,,,faceplate,fireproof,pack
Замок врезной Apecs 1526_60-CR,Замок врезной Apecs 1526/60-CR,Apecs,1526/60,CR,45.0,70.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 2210_60-CR,Замок врезной Apecs 2210/60-CR,Apecs,2210/60,CR,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
